代號,名稱,市場,,,,,,,,,,,,,PER,PBR,1個月走勢圖,3個月走勢圖,1年走勢圖,3年走勢圖,10年走勢圖
00960,野村全球航運龍頭,市,,,,,,,,,,,,,,,,,,,
00961,FT臺灣永續高息,市,,,,,,,,,,,,,,,,,,,
00962,台新AI優息動能,市,,,,,,,,,,,,,,,,,,,
00963,中信全球高股息,市,,,,,,,,,,,,,,,,,,,
00964,中信亞太高股息,市,,,,,,,,,,,,,,,,,,,
00965,元大航太防衛科技,市,,,,,,,,,,,,,,,,,,,
01001T,土銀富邦R1,市,,,,,,,,,,,,,,,,,,,
01002T,土銀國泰R1,市,,,,,,,,,,,,,,,,,,,
01004T,土銀富邦R2,市,,,,,,,,,,,,,,,,,,,
01007T,兆豐國泰R2,市,,,,,,,,,,,,,,,,,,,
01009T,王道圓滿R1,市,,,,,,,,,,,,,,,,,,,
01010T,京城樂富R1,市,,,,,,,,,,,,,,,,,,,
020000,富邦特選蘋果N,市,,,,,,,,,,,,,,,,,,,
020011,統一微波高息20N,市,,,,,,,,,,,,,,,,,,,
020012,富邦行動通訊N,市,,,,,,,,,,,,,,,,,,,
020015,統一MSCI美低波N,市,,,,,,,,,,,,,,,,,,,
020016,統一MSCI美科技N,市,,,,,,,,,,,,,,,,,,,
020018,統一價值成長30N,市,,,,,,,,,,,,,,,,,,,
020019,統一特選台灣5GN,市,,,,,,,,,,,,,,,,,,,
02001L,富邦蘋果正二N,市,,,,,,,,,,,,,,,,,,,
02001R,富邦蘋果反一N,市,,,,,,,,,,,,,,,,,,,
02001S,策元大加權策略N,市,,,,,,,,,,,,,,,,,,,
020020,元大台股領航N,市,,,,,,,,,,,,,,,,,,,
020028,元大特選電動車N,市,,,,,,,,,,,,,,,,,,,
020029,元大ESG高股息N,市,,,,,,,,,,,,,,,,,,,
020030,統一智慧電動車N,市,,,,,,,,,,,,,,,,,,,
020031,統一IC設計臺灣N,市,,,,,,,,,,,,,,,,,,,
020032,元大綠能N,市,,,,,,,,,,,,,,,,,,,
020034,元大IC設計N,市,,,,,,,,,,,,,,,,,,,
020036,元大金融配息N,市,,,,,,,,,,,,,,,,,,,
020037,元大金融高股息N,市,,,,,,,,,,,,,,,,,,,
020038,元大ESG配息N,市,,,,,,,,,,,,,,,,,,,
020039,元大加權N,市,,,,,,,,,,,,,,,,,,,
1101,台泥,市,,,,,,,,,,,,,27.6,1.06,,,,,
1101B,台泥乙特,市,,,,,,,,,,,,,,,,,,,
1102,亞泥,市,,,,,,,,,,,,,13.7,0.85,,,,,
1103,嘉泥,市,,,,,,,,,,,,,25.2,0.54,,,,,
1104,環泥,市,,,,,,,,,,,,,12.9,0.87,,,,,
1108,幸福,市,,,,,,,,,,,,,13.8,1.16,,,,,
1109,信大,市,,,,,,,,,,,,,10.7,0.77,,,,,
1110,東泥,市,,,,,,,,,,,,,43,1.28,,,,,
1201,味全,市,,,,,,,,,,,,,22.3,1.21,,,,,
1203,味王,市,,,,,,,,,,,,,20.7,1.67,,,,,
1210,大成,市,,,,,,,,,,,,,13.2,1.85,,,,,
1213,大飲,市,,,,,,,,,,,,,,3.68,,,,,
1215,卜蜂,市,,,,,,,,,,,,,16,2.9,,,,,
1216,統一,市,,,,,,,,,,,,,25.6,3.78,,,,,
1217,愛之味,市,,,,,,,,,,,,,17.8,0.78,,,,,
1218,泰山,市,,,,,,,,,,,,,12.3,0.8,,,,,
1219,福壽,市,,,,,,,,,,,,,27.7,1.26,,,,,
1220,台榮,市,,,,,,,,,,,,,11.8,1.22,,,,,
1225,福懋油,市,,,,,,,,,,,,,43.8,5.16,,,,,
1227,佳格,市,,,,,,,,,,,,,22.2,1.93,,,,,
1229,聯華,市,,,,,,,,,,,,,24.9,2.08,,,,,
1231,聯華食,市,,,,,,,,,,,,,28.9,5.72,,,,,
1232,大統益,市,,,,,,,,,,,,,18.1,4.4,,,,,
1233,天仁,市,,,,,,,,,,,,,35.3,1.99,,,,,
1234,黑松,市,,,,,,,,,,,,,17.3,0.89,,,,,
1235,興泰,市,,,,,,,,,,,,,60.5,1.51,,,,,
1236,宏亞,市,,,,,,,,,,,,,,0.78,,,,,
1256,鮮活果汁-KY,市,,,,,,,,,,,,,17.1,1.32,,,,,
1301,台塑,市,,,,,,,,,,,,,,0.81,,,,,
1303,南亞,市,,,,,,,,,,,,,93.8,0.83,,,,,
1304,台聚,市,,,,,,,,,,,,,,0.61,,,,,
1305,華夏,市,,,,,,,,,,,,,,0.86,,,,,
1307,三芳,市,,,,,,,,,,,,,13.1,1.62,,,,,
1308,亞聚,市,,,,,,,,,,,,,,0.75,,,,,
1309,台達化,市,,,,,,,,,,,,,,0.99,,,,,
1310,台苯,市,,,,,,,,,,,,,,0.84,,,,,
1312,國喬,市,,,,,,,,,,,,,,0.38,,,,,
1312A,國喬特,市,,,,,,,,,,,,,,,,,,,
1313,聯成,市,,,,,,,,,,,,,,0.49,,,,,
1314,中石化,市,,,,,,,,,,,,,25.3,0.39,,,,,
1315,達新,市,,,,,,,,,,,,,70.5,0.68,,,,,
1316,上曜,市,,,,,,,,,,,,,,1.23,,,,,
1319,東陽,市,,,,,,,,,,,,,17.5,2.6,,,,,
1321,大洋,市,,,,,,,,,,,,,47,1.21,,,,,
1323,永裕,市,,,,,,,,,,,,,9.35,0.89,,,,,
1324,地球,市,,,,,,,,,,,,,180,0.98,,,,,
1325,恆大,市,,,,,,,,,,,,,,0.86,,,,,
1326,台化,市,,,,,,,,,,,,,123,0.64,,,,,
1337,再生-KY,市,,,,,,,,,,,,,,0.44,,,,,
1338,廣華-KY,市,,,,,,,,,,,,,,0.39,,,,,
1339,昭輝,市,,,,,,,,,,,,,10.4,1.03,,,,,
1340,勝悅-KY,市,,,,,,,,,,,,,,0.43,,,,,
1341,富林-KY,市,,,,,,,,,,,,,14.3,2.63,,,,,
1342,八貫,市,,,,,,,,,,,,,16.3,3.64,,,,,
1402,遠東新,市,,,,,,,,,,,,,17.8,0.78,,,,,
1409,新纖,市,,,,,,,,,,,,,17.9,0.67,,,,,
1410,南染,市,,,,,,,,,,,,,108,2.15,,,,,
1413,宏洲,市,,,,,,,,,,,,,,1.33,,,,,
1414,東和,市,,,,,,,,,,,,,76.9,1.66,,,,,
1416,廣豐,市,,,,,,,,,,,,,25.1,0.62,,,,,
1417,嘉裕,市,,,,,,,,,,,,,,0.79,,,,,
1418,東華,市,,,,,,,,,,,,,55.5,1.35,,,,,
1419,新紡,市,,,,,,,,,,,,,21.6,0.94,,,,,
1423,利華,市,,,,,,,,,,,,,76.6,1.14,,,,,
1432,大魯閣,市,,,,,,,,,,,,,,2.07,,,,,
1434,福懋,市,,,,,,,,,,,,,27.6,0.77,,,,,
1435,中福,市,,,,,,,,,,,,,,4.54,,,,,
1436,華友聯,市,,,,,,,,,,,,,4.63,2.69,,,,,
1437,勤益控,市,,,,,,,,,,,,,10.4,0.87,,,,,
1438,三地開發,市,,,,,,,,,,,,,,3.07,,,,,
1439,雋揚,市,,,,,,,,,,,,,19,1.08,,,,,
