代號,名稱,市場,,,,,,,,,,,,,PER,PBR,1個月走勢圖,3個月走勢圖,1年走勢圖,3年走勢圖,10年走勢圖
3191,雲嘉南,櫃,,,,,,,,,,,,,,3.52,,,,,
3202,樺晟,櫃,,,,,,,,,,,,,,0.68,,,,,
3205,佰研,櫃,,,,,,,,,,,,,,2.42,,,,,
3206,志豐,櫃,,,,,,,,,,,,,10.9,1.61,,,,,
3207,耀勝,櫃,,,,,,,,,,,,,871,4.49,,,,,
3211,順達,櫃,,,,,,,,,,,,,12.3,3.32,,,,,
3213,茂訊,櫃,,,,,,,,,,,,,9.32,1.87,,,,,
3217,優群,櫃,,,,,,,,,,,,,15.4,3.17,,,,,
3218,大學光,櫃,,,,,,,,,,,,,16.7,5.33,,,,,
3219,倚強科,櫃,,,,,,,,,,,,,168,2.63,,,,,
3221,台嘉碩,櫃,,,,,,,,,,,,,54.4,1.27,,,,,
3224,三顧,櫃,,,,,,,,,,,,,,2.97,,,,,
3226,至寶電,櫃,,,,,,,,,,,,,9.71,1.74,,,,,
3227,原相,櫃,,,,,,,,,,,,,21.8,3.11,,,,,
3228,金麗科,櫃,,,,,,,,,,,,,,26.1,,,,,
3230,錦明,櫃,,,,,,,,,,,,,14.4,4.17,,,,,
3232,昱捷,櫃,,,,,,,,,,,,,152,1.62,,,,,
3234,光環,櫃,,,,,,,,,,,,,,6.01,,,,,
3236,千如,櫃,,,,,,,,,,,,,,1.61,,,,,
3252,海灣,櫃,,,,,,,,,,,,,,0.51,,,,,
3259,鑫創,櫃,,,,,,,,,,,,,,4.84,,,,,
3260,威剛,櫃,,,,,,,,,,,,,8.16,1.6,,,,,
3264,欣銓,櫃,,,,,,,,,,,,,11.4,1.44,,,,,
3265,台星科,櫃,,,,,,,,,,,,,20.2,2.63,,,,,
3268,海德威,櫃,,,,,,,,,,,,,,1.59,,,,,
3272,東碩,櫃,,,,,,,,,,,,,,1.18,,,,,
3276,宇環,櫃,,,,,,,,,,,,,147,1.4,,,,,
3284,太普高,櫃,,,,,,,,,,,,,11.9,2.37,,,,,
3285,微端,櫃,,,,,,,,,,,,,32.8,1.96,,,,,
3287,廣寰科,櫃,,,,,,,,,,,,,16.5,2.57,,,,,
3288,點晶,櫃,,,,,,,,,,,,,,3.86,,,,,
3289,宜特,櫃,,,,,,,,,,,,,25,3.19,,,,,
3290,東浦,櫃,,,,,,,,,,,,,20,1.83,,,,,
3293,鈊象,櫃,,,,,,,,,,,,,35,20.6,,,,,
3294,英濟,櫃,,,,,,,,,,,,,61.7,1.66,,,,,
3297,杭特,櫃,,,,,,,,,,,,,,1.43,,,,,
3303,岱稜,櫃,,,,,,,,,,,,,14.6,2.42,,,,,
3306,鼎天,櫃,,,,,,,,,,,,,19.2,0.86,,,,,
3310,佳穎,櫃,,,,,,,,,,,,,29.1,3.38,,,,,
3313,斐成,櫃,,,,,,,,,,,,,12.1,1.7,,,,,
3317,尼克森,櫃,,,,,,,,,,,,,24.4,1.49,,,,,
3322,建舜電,櫃,,,,,,,,,,,,,,1.29,,,,,
3323,加百裕,櫃,,,,,,,,,,,,,,1.53,,,,,
3324,雙鴻,櫃,,,,,,,,,,,,,38.4,7.59,,,,,
3325,旭品,櫃,,,,,,,,,,,,,,1.98,,,,,
3332,幸康,櫃,,,,,,,,,,,,,18.8,1.12,,,,,
3339,泰谷,櫃,,,,,,,,,,,,,170,2.92,,,,,
3349,寶德,櫃,,,,,,,,,,,,,,2.87,,,,,
3354,律勝,櫃,,,,,,,,,,,,,,1.98,,,,,
3357,臺慶科,櫃,,,,,,,,,,,,,19.7,1.72,,,,,
3360,尚立,櫃,,,,,,,,,,,,,,1.4,,,,,
3362,先進光,櫃,,,,,,,,,,,,,79,7.55,,,,,
3363,上詮,櫃,,,,,,,,,,,,,,8.83,,,,,
3372,典範,櫃,,,,,,,,,,,,,,1.63,,,,,
3373,熱映,櫃,,,,,,,,,,,,,,1.09,,,,,
3374,精材,櫃,,,,,,,,,,,,,33.4,6.39,,,,,
3379,彬台,櫃,,,,,,,,,,,,,27.3,1.96,,,,,
3388,崇越電,櫃,,,,,,,,,,,,,17.9,1.18,,,,,
3390,旭軟,櫃,,,,,,,,,,,,,30.4,1.58,,,,,
3402,漢科,櫃,,,,,,,,,,,,,16.4,4.01,,,,,
3426,台興,櫃,,,,,,,,,,,,,15.5,1.74,,,,,
3430,奇鈦科,櫃,,,,,,,,,,,,,15.7,1.96,,,,,
3434,哲固,櫃,,,,,,,,,,,,,24.3,2.35,,,,,
3438,類比科,櫃,,,,,,,,,,,,,53.8,1.8,,,,,
3441,聯一光,櫃,,,,,,,,,,,,,54.4,1.89,,,,,
3444,利機,櫃,,,,,,,,,,,,,51.2,3.63,,,,,
3455,由田,櫃,,,,,,,,,,,,,25.8,3,,,,,
3465,進泰電子,櫃,,,,,,,,,,,,,,2.23,,,,,
3466,德晉,櫃,,,,,,,,,,,,,,5.56,,,,,
3479,安勤,櫃,,,,,,,,,,,,,15.5,2.24,,,,,
3483,力致,櫃,,,,,,,,,,,,,25.3,3.01,,,,,
3484,崧騰,櫃,,,,,,,,,,,,,14.3,1.41,,,,,
3489,森寶,櫃,,,,,,,,,,,,,,1.84,,,,,
3490,單井,櫃,,,,,,,,,,,,,12.4,1.32,,,,,
3491,昇達科,櫃,,,,,,,,,,,,,45.3,7.52,,,,,
3492,長盛,櫃,,,,,,,,,,,,,23.6,1.55,,,,,
3498,陽程,櫃,,,,,,,,,,,,,,1.49,,,,,
3499,環天科,櫃,,,,,,,,,,,,,,2.44,,,,,
3508,位速,櫃,,,,,,,,,,,,,,4.22,,,,,
3511,矽瑪,櫃,,,,,,,,,,,,,,2.43,,,,,
3512,皇龍,櫃,,,,,,,,,,,,,9.5,1.48,,,,,
3516,亞帝歐,櫃,,,,,,,,,,,,,104,0.97,,,,,
3520,華盈,櫃,,,,,,,,,,,,,281,1.93,,,,,
3521,鴻翊,櫃,,,,,,,,,,,,,,2.63,,,,,
3522,御嵿,櫃,,,,,,,,,,,,,,3.33,,,,,
3523,迎輝,櫃,,,,,,,,,,,,,,3.08,,,,,
3526,凡甲,櫃,,,,,,,,,,,,,19,5.55,,,,,
3527,聚積,櫃,,,,,,,,,,,,,1202,1.32,,,,,
3529,力旺,櫃,,,,,,,,,,,,,135,76.6,,,,,
3531,先益,櫃,,,,,,,,,,,,,42.9,0.91,,,,,
3537,堡達,櫃,,,,,,,,,,,,,21.5,2.8,,,,,
3540,曜越,櫃,,,,,,,,,,,,,,1.61,,,,,
3541,西柏,櫃,,,,,,,,,,,,,,2.21,,,,,
3546,宇峻,櫃,,,,,,,,,,,,,18.6,2.76,,,,,
3548,兆利,櫃,,,,,,,,,,,,,23.9,2.46,,,,,
3551,世禾,櫃,,,,,,,,,,,,,20,1.9,,,,,
3552,同致,櫃,,,,,,,,,,,,,41.8,2.11,,,,,
3555,博士旺,櫃,,,,,,,,,,,,,,3.45,,,,,
